,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
27,347.2261579990387,5.440523294159606,0.3321108341217041,0.01865706669946891,200,10,4,100,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 100, 'bootstrap': False}",-7.714788960478717,-7.524802752341269,-7.837700256740211,-7.5113207711928105,-7.606187743247347,-7.638960096800071,0.12300031840005451,58,-4.216707406878237,-4.205651451005448,-4.268019703903264,-4.188105974587798,-4.252779085564953,-4.22625272438794,0.029728197008169515
28,242.93398900032042,1.3054606620280713,0.3096916675567627,0.009775647923544298,200,10,4,70,True,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 70, 'bootstrap': True}",-7.088880767914515,-6.9263794567723505,-7.0411022593926145,-7.052750621629568,-7.002340506147472,-7.022290722371304,0.055340573812611066,33,-4.8314916214822885,-4.846279117310617,-4.850853075171677,-4.816373787690353,-4.870143207340109,-4.843028161799009,0.018169045639920854
29,485.3210503578186,7.751912469104246,0.40880465507507324,0.013435088283075892,200,6,1,60,False,"{'n_estimators': 200, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_depth': 60, 'bootstrap': False}",-7.529210452021736,-7.473955669058668,-7.591784319106947,-7.476869525762233,-7.385662662784627,-7.491496525746842,0.06812109667866033,49,-1.7334207870478868,-1.7142943590785567,-1.7017384172565664,-1.8526751543239184,-1.7605823667757678,-1.7525422168965392,0.05385313905966103
30,810.8229995250701,10.321365324260316,0.7691168308258056,0.02019321977082672,400,6,3,70,False,"{'n_estimators': 400, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_depth': 70, 'bootstrap': False}",-7.868523395083412,-7.679043226449521,-7.744018454107173,-7.671604417962471,-7.656713713919205,-7.723980641504356,0.07820690654563336,82,-3.289774041631249,-3.2346999999954322,-3.3070155920541713,-3.215763564914016,-3.3171144176236798,-3.2728735232437103,0.040317069183093295
31,654.1628275394439,17.220238567306247,1.0666403293609619,0.05545138387985867,1000,6,1,20,True,"{'n_estimators': 1000, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': True}",-7.513436409086407,-7.402969299080359,-7.414254047148051,-7.4750939577110875,-7.4509841433411825,-7.451347571273418,0.04033716272149431,45,-6.23056406264705,-6.342768875929462,-6.22348055581194,-6.262730901954913,-6.282990399936219,-6.268506959255918,0.042953476157544586
32,1808.9892673969268,22.438569412022684,1.7809191703796388,0.049055159800984946,1000,6,4,90,False,"{'n_estimators': 1000, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_depth': 90, 'bootstrap': False}",-7.692381369594559,-7.60051111823411,-7.834252155605724,-7.586913338754827,-7.654089754549677,-7.673629547347778,0.08876830755685268,70,-3.9986711825553645,-3.9624810668276162,-4.027189416903977,-3.9543267387277057,-4.019845592453738,-3.9925027994936797,0.029487471074002066
33,2102.0273190021517,10.526086293943738,2.174827814102173,0.01889163653957834,1000,2,1,60,True,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 60, 'bootstrap': True}",-6.667319935206268,-6.545894899828678,-6.597768766566547,-6.633778185516185,-6.57658683655939,-6.604269724735414,0.04257300373673676,2,-2.504674227749995,-2.531261013097451,-2.5310383593376238,-2.5089733337794553,-2.5353238786272176,-2.5222541625183483,0.012763521996156503
34,347.58731107711793,4.737740175947142,0.3490654468536377,0.019484082911952492,200,10,4,70,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 70, 'bootstrap': False}",-7.714657985758041,-7.526467891176235,-7.838568743482566,-7.5125142472004365,-7.6044921004495984,-7.639340193613376,0.12280403237245732,59,-4.216626162126656,-4.204823397292456,-4.267945924629913,-4.188122266693199,-4.252664821010579,-4.226036514350561,0.029804384326020304
35,402.96790199279786,8.613568113684602,0.5476151943206787,0.00845896676255875,400,10,3,30,True,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_depth': 30, 'bootstrap': True}",-7.191705177481313,-7.058251327045365,-7.102129849401176,-7.150408869848109,-7.086021153946187,-7.1177032755444305,0.04759571409312726,38,-5.299556720548549,-5.433977973066699,-5.345729968244724,-5.350418989085,-5.380345675927772,-5.362005865374549,0.04430663416647043
36,220.28734636306763,3.539327747772325,0.5557136535644531,0.03327226144407733,1000,10,1,10,True,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': True}",-8.259901005990242,-8.151918347547877,-8.154050867741482,-8.237939359325429,-8.197732444182906,-8.200308404957587,0.043486457210949916,94,-7.952900422276793,-7.998942235055755,-7.964383085602275,-7.954925891589096,-7.979132974346274,-7.970056921774038,0.01715938239003676
37,1009.0526497364044,7.795177138281858,1.2987387657165528,0.022051503094611256,800,6,4,50,True,"{'n_estimators': 800, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_depth': 50, 'bootstrap': True}",-7.0753983233360715,-6.903381348576008,-7.005546694882394,-7.036155817878545,-6.976531118457988,-6.999402660626201,0.05814995147833263,29,-4.668175764008102,-4.696191091292829,-4.699708766381519,-4.664530819208566,-4.709783383616711,-4.687677964901545,0.018011047916196
38,963.0699644565582,6.211324334018237,1.1086020946502686,0.033613770779541446,600,10,1,80,True,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 80, 'bootstrap': True}",-6.810384874139812,-6.693288020444646,-6.749902599049733,-6.794585934627262,-6.716711307905212,-6.752974547233333,0.044529527436667125,9,-3.833009605390632,-3.8587537367616638,-3.853308187036219,-3.822192282803913,-3.8557557098751185,-3.844603904373509,0.014401761069494822
39,259.5683154582977,4.141475141472916,0.5451247692108154,0.03674396875568789,1000,2,1,10,False,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': False}",-8.359937948346829,-8.215802110746932,-8.153665199903998,-8.33472569766381,-8.295714532135623,-8.271969097759438,0.07666980870824108,100,-7.978030048714142,-7.9477538668793155,-7.92235885375651,-7.957502331426392,-7.958373946187711,-7.952803809392814,0.018121053648157106
40,1830.1435680389404,25.16959332590924,1.7188910961151123,0.04992880653198374,1000,10,3,100,False,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_depth': 100, 'bootstrap': False}",-7.836266000737466,-7.568348589113115,-7.681200541903892,-7.524522760993016,-7.563456660124351,-7.634758910574368,0.11349738578213374,56,-3.9521625534044,-3.904745761661367,-3.96615184604605,-3.9036635888216358,-3.9654341786707454,-3.9384315857208394,0.028388873464762612
41,1080.325206899643,12.072011348323626,1.048927116394043,0.02951733925204427,600,6,4,100,False,"{'n_estimators': 600, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_depth': 100, 'bootstrap': False}",-7.692080245658218,-7.599619976165789,-7.834901784221802,-7.586788286313882,-7.653957616455222,-7.6734695817629825,0.08916820152845195,68,-3.9985599591184604,-3.962495471082334,-4.027395578804014,-3.9543365824525063,-4.019820619083384,-3.9925216421081395,0.02952137057880303
